1 Infinity Infinity Infinity Infinity
2 2.8853900817779268 2.0402788931935794 1.6572214202315325 1.5462422593575034
10 4.3429448190325175 1.3733597380570537 0.68831036789189 0.5467443594699858
20 6.676164013906681 1.4928356564033192 0.6077192608624707 0.4504016796109887
30 8.820423113856181 1.6103815687329963 0.5804868886703543 0.41312387045204946
40 10.843401227272672 1.714492273062338 0.5669144603926529 0.3920229889808861
50 12.781110931766573 1.8075220421899314 0.5589752782262162 0.3780033078988688
100 21.71472409516259 2.1714724095162588 0.5454492081861305 0.344155183945945
150 29.936323678703257 2.4442905929206935 0.5436575938057748 0.32939449194498943
200 37.74783316355097 2.6691748805045337 0.5445879535325618 0.32060111675434627
300 52.59667621144383 3.036670516915668 0.5486069390681854 0.31013385035884444
400 66.76164013906681 3.3380820069533406 0.5531959659078414 0.3038596304312354
500 80.45559624700124 3.598083647571435 0.5576738164158147 0.2995596081285829
1000 144.76482730108395 4.577865793523513 0.5763191579250021 0.28884380444683083
1500 205.1079990215914 5.295865762563672 0.590350031210299 0.28411912246318854
2000 263.12664984790376 5.883690757516976 0.6016457313607952 0.2813441181971448
5000 587.047855746548 8.302110393588125 0.6449076113556192 0.27516963146428214
10000 1085.7362047581294 10.857362047581296 0.6850532325601928 0.27272460409306526
25000 2468.7380969663764 15.613670665686742 0.7483814463894581 0.27184979586267527
50000 4621.166782321471 20.666486121269568 0.804591869087059 0.2726959192489342
75000 6681.369603975538 24.396912314178405 0.8410396801944895 0.2737224130389221
100000 8685.889638065037 27.467194761141076 0.8685889638065037 0.2746719476114108
250000 20113.89906175031 40.22779812350062 0.9663718250281794 0.27883690820790735
500000 38102.89241501729 53.88562721896038 1.051433817049298 0.2830641962966718
